a	ɛ́j
a	ə
abandon	ə b á n d ə n
ability	ə b ɪ́ l ə t ɪj
able	ɛ́j b ə l
about	ə b áw t
above	ə b ʌ́ v
abroad	ə b r óː d
absolute	á b s ə l ʉw t
absolutely	á b s ə l ʉ́w t l ɪj
academic	á k ə d ɛ́ m ɪ k
accept	ə k s ɛ́ p t
acceptable	ə k s ɛ́ p t ə b ə l
access	á k s ɛ s
accident	á k s ɪ d ə n t
accommodation	ə k ɔ́ m ə d ɛ́j ʃ ə n
accompany	ə k ʌ́ m p ə n ɪj
account	ə k áw n t
accurate	á k j ə r ə t
accuse	ə k j ʉ́w z
achieve	ə tʃ ɪ́j v
achievement	ə tʃ ɪ́j v m ə n t
acknowledge	ə k n ɔ́ l ɪ dʒ
acquire	ə k w ɑ́j ə
across	ə k r ɔ́ s
act	á k t
action	á k ʃ ə n
active	á k t ɪ v
activity	a k t ɪ́ v ə t ɪj
actor	á k t ə
actress	á k t r ə s
actual	á k tʃ ʉw ə l
actually	á k tʃ ə l ɪj
ad	á d
adapt	ə d á p t
add	á d
addition	ə d ɪ́ ʃ ə n
additional	ə d ɪ́ ʃ ə n ə l
address	ə d r ɛ́ s
administration	ə d m ɪ́ n ɪ s t r ɛ́j ʃ ə n
admire	ə d m ɑ́j ə
admit	ə d m ɪ́ t
adopt	ə d ɔ́ p t
adult	á d ʌ l t
advance	ə d v ɑ́ː n s
advanced	ə d v ɑ́ː n s t
advantage	ə d v ɑ́ː n t ɪ dʒ
adventure	ə d v ɛ́ n tʃ ə
advertise	á d v ə t ɑj z
advertisement	ə d v ə́ː t ɪ s m ə n t
advertising	á d v ə t ɑj z ɪ ŋ
advice	ə d v ɑ́j s
advise	ə d v ɑ́j z
affair	ə f ɛ́ː
affect	ə f ɛ́ k t
afford	ə f óː d
afraid	ə f r ɛ́j d
after	ɑ́ː f t ə
afternoon	ɑ́ː f t ə n ʉ́w n
afterwards	ɑ́ː f t ə w ə d z
again	ə g ɛ́ n
against	ə g ɛ́ n s t
age	ɛ́j dʒ
aged	ɛ́j dʒ d
aged	ɛ́j dʒ ɪ d
agency	ɛ́j dʒ ə n s ɪj
agenda	ə dʒ ɛ́ n d ə
agent	ɛ́j dʒ ə n t
aggressive	ə g r ɛ́ s ɪ v
ago	ə g ə́w
agree	ə g r ɪ́j
agreement	ə g r ɪ́j m ə n t
ah	ɑ́ː
ahead	ə h ɛ́ d
aid	ɛ́j d
aim	ɛ́j m
air	ɛ́ː
aircraft	ɛ́ː k r ɑː f t
airline	ɛ́ː l ɑj n
airport	ɛ́ː p oː t
alarm	ə l ɑ́ː m
album	á l b ə m
alcohol	á l k ə h ɔ l
alcoholic	á l k ə h ɔ́ l ɪ k
alive	ə l ɑ́j v
all	óː l
allow	ə l áw
almost	óː l m əw s t
alone	ə l ə́w n
along	ə l ɔ́ ŋ
already	oː l r ɛ́ d ɪj
also	óː l s əw
alter	ɔ́ l t ə
alternative	ɔ l t ə́ː n ə t ɪ v
although	oː l ð ə́w
always	óː l w ɛj z
amazed	ə m ɛ́j z d
amazing	ə m ɛ́j z ɪ ŋ
ambition	a m b ɪ́ ʃ ə n
ambitious	a m b ɪ́ ʃ ə s
among	ə m ʌ́ ŋ
amount	ə m áw n t
an	á n
an	ə n
analyse	á n ə l ɑj z
analysis	ə n á l ə s ɪ s
ancient	ɛ́j n ʃ ə n t
and	á n d
and	ə n d
anger	á ŋ g ə
angle	á ŋ g ə l
angry	á ŋ g r ɪj
animal	á n ɪ m ə l
ankle	á ŋ k ə l
anniversary	á n ɪ v ə́ː s ə r ɪj
announce	ə n áw n s
announcement	ə n áw n s m ə n t
annoy	ə n ój
annoyed	ə n ój d
annoying	ə n ój ɪ ŋ
annual	á n j ʉw ə l
another	ə n ʌ́ ð ə
answer	ɑ́ː n s ə
anxious	á ŋ k ʃ ə s
any	ɛ́ n ɪj
anybody	ɛ́ n ɪj b ɔ d ɪj
anyone	ɛ́ n ɪj w ʌ n
anything	ɛ́ n ɪj θ ɪ ŋ
anyway	ɛ́ n ɪj w ɛj
anywhere	ɛ́ n ɪj w ɛː
apart	ə p ɑ́ː t
apartment	ə p ɑ́ː t m ə n t
apologize	ə p ɔ́ l ə dʒ ɑj z
app	á p
apparent	ə p á r ə n t
apparently	ə p á r ə n t l ɪj
appeal	ə p ɪ́j l
appear	ə p ɪ́ː
appearance	ə p ɪ́ː r ə n s
apple	á p ə l
application	á p l ɪ k ɛ́j ʃ ə n
apply	ə p l ɑ́j
appointment	ə p ój n t m ə n t
appreciate	ə p r ɪ́j ʃ ɪj ɛj t
approach	ə p r ə́w tʃ
appropriate	ə p r ə́w p r ɪj ɛj t
appropriate	ə p r ə́w p r ɪj ə t
approval	ə p r ʉ́w v ə l
approve	ə p r ʉ́w v
approximately	ə p r ɔ́ k s ɪ m ə t l ɪj
April	ɛ́j p r ɪ l
architect	ɑ́ː k ɪ t ɛ k t
architecture	ɑ́ː k ɪ t ɛ k tʃ ə
area	ɛ́ː r ɪj ə
argue	ɑ́ː g j ʉw
argument	ɑ́ː g j ə m ə n t
arise	ə r ɑ́j z
arm	ɑ́ː m
armed	ɑ́ː m d
arms	ɑ́ː m z
army	ɑ́ː m ɪj
around	ə r áw n d
arrange	ə r ɛ́j n dʒ
arrangement	ə r ɛ́j n dʒ m ə n t
arrest	ə r ɛ́ s t
arrival	ə r ɑ́j v ə l
arrive	ə r ɑ́j v
art	ɑ́ː t
article	ɑ́ː t ɪ k ə l
artificial	ɑ́ː t ɪ f ɪ́ ʃ ə l
artist	ɑ́ː t ɪ s t
artistic	ɑː t ɪ́ s t ɪ k
as	á z
as	ə z
ashamed	ə ʃ ɛ́j m d
ask	ɑ́ː s k
asleep	ə s l ɪ́j p
aspect	á s p ɛ k t
assess	ə s ɛ́ s
assessment	ə s ɛ́ s m ə n t
assignment	ə s ɑ́j n m ə n t
assist	ə s ɪ́ s t
assistant	ə s ɪ́ s t ə n t
associate	ə s ə́w ʃ ɪj ɛj t
associate	ə s ə́w ʃ ɪj ə t
associated	ə s ə́w ʃ ɪj ɛj t ɪ d
association	ə s ə́w s ɪj ɛ́j ʃ ə n
assume	ə s j ʉ́w m
at	á t
at	ə t
athlete	á θ l ɪj t
atmosphere	á t m ə s f ɪː
attach	ə t á tʃ
attack	ə t á k
attempt	ə t ɛ́ m p t
attend	ə t ɛ́ n d
attention	ə t ɛ́ n ʃ ə n
attitude	á t ɪ tʃ ʉw d
attract	ə t r á k t
attraction	ə t r á k ʃ ə n
attractive	ə t r á k t ɪ v
audience	óː d ɪj ə n s
August	óː g ə s t
aunt	ɑ́ː n t
author	óː θ ə
authority	oː θ ɔ́ r ə t ɪj
autumn	óː t ə m
available	ə v ɛ́j l ə b ə l
average	á v ə r ɪ dʒ
avoid	ə v ój d
award	ə w óː d
aware	ə w ɛ́ː
away	ə w ɛ́j
awful	óː f ə l
baby	b ɛ́j b ɪj
back	b á k
background	b á k g r aw n d
backwards	b á k w ə d z
bacteria	b a k t ɪ́ː r ɪj ə
bad	b á d
badly	b á d l ɪj
bag	b á g
bake	b ɛ́j k
balance	b á l ə n s
ball	b óː l
ban	b á n
banana	b ə n ɑ́ː n ə
band	b á n d
bank	b á ŋ k
bar	b ɑ́ː
barrier	b á r ɪj ə
base	b ɛ́j s
baseball	b ɛ́j s b oː l
based	b ɛ́j s t
basic	b ɛ́j s ɪ k
basically	b ɛ́j s ɪ k l ɪj
basis	b ɛ́j s ɪ s
basketball	b ɑ́ː s k ɪ t b oː l
bath	b ɑ́ː θ
bathroom	b ɑ́ː θ r ʉw m
battery	b á t ə r ɪj
battle	b á t ə l
be	b ɪ́j
beach	b ɪ́j tʃ
bean	b ɪ́j n
bear	b ɛ́ː
beat	b ɪ́j t
beautiful	b j ʉ́w t ɪ f ə l
beauty	b j ʉ́w t ɪj
because	b ɪ k ɔ́ z
because	b ɪ k ə z
become	b ə k ʌ́ m
bed	b ɛ́ d
bedroom	b ɛ́ d r ʉw m
bee	b ɪ́j
beef	b ɪ́j f
beer	b ɪ́ː
before	b ə f óː
beg	b ɛ́ g
begin	b ə g ɪ́ n
beginning	b ə g ɪ́ n ɪ ŋ
behave	b ə h ɛ́j v
